Stock,Price,W52r,Div,MCap,Rev,Beta,Shares,Empl,Ind,Sector,Industry
Sartorius Stedim Biotech SA (STDM),293.0,120.6 - 310.8,0.34,27.64B,1.6B,0.35,92.180.190,6690,cac mid 60,Santé,Matériel médical et fournitures
STMicroelectronics NV (STM),20.55,13.13 - 29.44,0.21,18.63B,369.64M,1.25,887.810.197,43480,cac 40,Technologie,Semi-conducteurs
Suez SA (SEVI),15.04,8.05 - 16.04,0.45,9.16B,26.18B,0.88,625.149.144,82536,cac next 20,Services,Services de gestion des déchets
Tarkett (TKTT),9.55,7.53 - 16.56,1.43,620.76M,4.23B,1.21,65.550.281,12950,cac mid 60,Matériaux de base,Produits en plastique et en caoutchouc
Teleperformance SE (TEPRF),256.0,150.3 - 279,2.4,15.24B,5.45B,0.67,58727599,331065,cac 40,Services,Business Services
Télévision Française 1 SA (TFFP),5.85,4.06 - 8.45,0.5,1.21B,2.08B,0.92,210.242.074,3202,cac mid 60,Services,Audiovisuel et télévision par câble
Thales (TCFP),74.22,52.5 - 112.5,2.65,15.25B,26.8B,0.68,212.756.640,82605,cac 40,Technologie,Matériel de communication
Total SA (TOTF),34.27,21.12 - 51.44,2.68,86.52B,3.88B,0.88,2.586.406.841,107776,cac 40,Energie,Activités pétrolières et gazières
Trigano SA (TRIA),111.5,41.76 - 115.5,2.0,2.17B,2.35B,1.11,19.280.200,8735,cac mid 60,Biens de consommation cycliques,Produits de loisirs
Ubisoft Entertainment SA (UBIP),72.34,39.89 - 80.8,1.43,8.79B,1.59B,0.97,120.910.645,18045,cac next 20,Technologie,Logiciels et programmation
WFD Unibail Rodamco NV (URW),58.88,45.22 - 157.15,10.8,8.16B,4.92B,1.46,138.378.605,3625,cac 40,Services,Opérations immobilières
Valeo SA (VLOF),27.83,10.51 - 37.02,0.2,6.42B,26.54B,1.97,239.452.552,114700,cac next 20,Biens d'équipement,Biens d'équipement (divers)
Vallourec SA (VLLP),20.67,18.27 - 114.68,1.43,229.65M,5.67B,2.53,11.445.379,17401,cac mid 60,Energie,Puits de pétrole - services et équipement
Veolia (VIE),18.77,16.02 - 29.09,0.5,10.24B,40.55B,0.66,554.756.150,178780,cac 40,Services,Services de gestion des déchets
Vinci SA (SGEF),71.92,54.76 - 107.35,3.05,40.09B,72.86B,0.83,554.745.990,222000,cac 40,Biens d'équipement,Services de construction
Virbac SA (VIRB),200.0,132.2 - 250,1.43,1.65B,1.42B,0.87,8.435.609,4897,cac mid 60,Santé,Biotechnologie et médicaments
Vivendi SA (VIV),20.88,16.6 - 26.69,0.6,24.59B,23.37B,0.73,1.170.575.000,43900,cac 40,Services,Industrie cinématographique
Wendel (MWDP),84.1,54.8 - 129.4,2.8,3.52B,11.9B,1.26,43.784.389,130621,cac mid 60,Services,Services aux entreprises
Worldline SA (WLN),56.82,36.36 - 77.7,1.43,10.56B,2.05B,0.95,182.644.703,11609,cac 40,Finance,Services financiers aux consommateurs
