stock,price_to_earnings,g,price_to_book,return_on_equity,book_to_market,price_to_cash_flow,dividend_yield,beta,price_to_sales,payout_ratio,dividend,earnings_per_share,price,firme,market_cap,revenue,shares_outstanding,employees,sector,indices
JCDX,22.1,0.0118,1.81,-0.043,8.87,3.46,0.021,1.3,1.22,0.436,0.58,-0.4,16.02,JC Decaux SA (JCDX),3.41B,4.46B,212902810,12076,Publicité,cac mid 60
KORI,38.15,0.1349,0.9,0.029300000000000003,31.36,5.86,0.0141,0.65,0.64,0.0,1.43,0.85,32.7,Korian Medica SA (KORI),2.55B,5.45B,82708882,26336,Healthcare Facilities,cac mid 60
LAGA,37.17,-0.0837,2.03,-0.2606,7.51,3.33,0.0611,1.29,0.35,0.436,1.0,-2.58,17.39,Lagardere SCA (LAGA),1.97B,9.12B,129185495,26689,Impression et édition,cac mid 60
LEGD,19.07,0.0404,3.85,0.1483,18.19,26.11,0.0192,0.94,3.0,0.5073,1.42,3.1,59.16,Legrand SA (LEGD),16.2B,13.06B,273682252,38644,Instruments et commandes électroniques,cac 40
LOIM,18.2,0.0652,0.37,-0.0008,30.85,22.02,0.1927,1.07,2.35,0.436,2.2,-0.04,12.62,Klepierre SA (LOIM),3.26B,2.22B,285225082,1062,Opérations immobilières,cac next 20
LTEN,15.12,0.1353,2.22,0.1578,33.05,14.38,0.0136,1.33,0.95,0.0,1.43,4.84,74.7,Alten SA (LTEN),2.47B,2.62B,33696147,37200,Services informatiques,cac mid 60
LVMH,24.2,0.06269999999999999,5.99,0.1274,71.11,46.95,0.0113,1.02,4.58,0.2959,6.8,14.23,344.5,LVMH Moet Hennessy Louis Vuitton SE (LVMH),171.97B,78.75B,503652374,147715,Vêtements / accessoires,cac 40
MDM,16.86,0.0318,0.95,0.0583,13.5,3.34,0.02645,1.49,0.49,0.0,1.43,0.76,13.27,Maisons du Monde SAS (MDM),581.06M,1.77B,45148771,8628,Meubles et équipements,cac mid 60
MERY,5.19,-0.0359,0.69,0.1332,6.97,8.1,0.1964,1.03,2.36,1.237,0.48,0.93,5.42,Mercialys SA (MERY),443.72M,283.86M,91752867,111,Opérations immobilières,cac mid 60
MICP,8.91,-0.1494,1.38,0.061500000000000006,68.59,19.84,0.0211,1.03,0.78,0.8833,2.0,9.66,86.06,Compagnie Générale des Etablissements Michelin SCA (MICP),15.69B,35.56B,179002555,127200,Pneumatiques,cac 40
MMTP,5.61,0.0557,1.47,0.3054,7.49,29.65,0.0339,1.03,1.07,0.5104,1.0,1.96,11.3,Metropole Television SA (MMTP),1.38B,2.01B,125671000,2606,Audiovisuel et télévision par câble,cac mid 60
MT,33.94,0.0232,0.37,-0.1054,29.92,6.83,0.02645,2.07,0.25,0.436,0.26,-2.23,9.54,ArcelorMittal S.A. (MT),9.44B,1.55B,1012079421,191000,Fer et acier,cac 40
MWDP,25.09,0.0601,1.61,-0.1392,49.98,4.78,0.0348,1.26,0.46,0.436,2.8,-6.76,84.1,Wendel (MWDP),3.52B,11.9B,43784389,130621,Services aux entreprises,cac mid 60
NEOEN,182.83,-0.0906,5.5,0.030899999999999997,7.79,39.4,0.08039999999999999,1.03,14.43,0.0,1.43,0.23,43.95,Neoen SA (NEOEN),3.64B,253.2M,84889800,213,Fournisseurs d'électricité,cac mid 60
NEXI,16.07,-0.059,0.97,0.0697,29.87,11.51,0.0691,0.8,0.4,1.2194,2.0,1.8,30.08,Nexity (NEXI),1.6B,5.81B,55387955,10989,Services de construction,cac mid 60
NEXS,7.67,0.1184,1.89,-0.0537,24.53,61.31,0.0277,1.65,0.32,0.436,0.4,-1.41,47.3,Nexans SA (NEXS),2B,9.69B,43138921,25945,Produits fabriqués (divers),cac mid 60
ORAN,11.11,-0.059,0.8,0.08410000000000001,12.08,191.66,0.0519,0.54,0.6,0.5065,0.7,1.02,11.33,Orange SA (ORAN),30.16B,63.36B,2650313631,135619,Services de communication,cac 40
OREP,36.02,0.0527,5.42,0.1157,51.82,55.91,0.0137,0.53,5.59,0.737,4.25,6.66,240.0,L'Oréal SA (OREP),133.95B,43.42B,558117205,86030,Produits personnels et ménagers,cac 40
